,Species,island,Bill Length (mm),Bill Depth (mm),Flipper Length (mm),Body Mass (g),sex,year,Flag_outliners,body_mass_kg,bill_ratio,size_class
266,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,2009,False,4.375,3.276595744680851,Medium
267,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,2009,False,5.85,3.44375,Large
269,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,2009,False,6.0,3.0123456790123457,Large
270,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,2009,False,4.925,3.445255474452555,Large
272,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,2009,False,4.85,3.2727272727272725,Large
273,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,2009,False,5.75,3.210191082802548,Large
274,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,2009,False,5.2,3.054054054054054,Large
275,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,2009,False,5.4,3.0993788819875774,Large
276,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,2007,False,3.5,2.597765363128492,Small
277,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,2007,False,3.9,2.5641025641025643,Medium
278,Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,2007,False,3.65,2.671875,Small
279,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,2007,False,3.525,2.427807486631016,Small
280,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,2007,False,3.725,2.6616161616161618,Medium
281,Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,2007,False,3.95,2.539325842696629,Medium
282,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,2007,False,3.25,2.5329670329670333,Small
283,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,2007,False,3.75,2.8186813186813184,Medium
284,Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,2007,False,4.15,2.433862433862434,Medium
285,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,2007,False,3.7,2.577889447236181,Small
286,Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,2007,False,3.8,2.6179775280898876,Medium
287,Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,2007,False,3.775,2.5467980295566504,Medium
288,Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,2007,False,3.7,2.7167630057803467,Small
289,Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,2007,False,4.05,2.87292817679558,Medium
290,Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,2007,False,3.575,2.6842105263157894,Small
291,Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,2007,False,4.05,2.576530612244898,Medium
292,Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,2007,False,3.3,2.5149999999999997,Small
293,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,2007,False,3.7,3.258426966292135,Small
294,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,2007,False,3.45,2.494623655913978,Small
295,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,2007,False,4.4,2.7032967032967035,Medium
296,Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,2007,False,3.6,2.450867052023121,Small
297,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,2007,False,3.4,2.7714285714285714,Small
298,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,2007,False,2.9,2.602409638554217,Small
299,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,2007,False,3.8,2.6082474226804124,Medium
300,Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,2007,False,3.3,2.608938547486034,Small
301,Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,2007,False,4.15,2.736842105263158,Medium
302,Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,2008,False,3.4,2.7445652173913047,Small
303,Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,2008,False,3.8,2.6052631578947367,Medium
304,Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,2008,False,3.7,2.6067415730337076,Small
305,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,2008,False,4.55,2.6399999999999997,Medium
306,Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,2008,False,3.2,2.4638554216867465,Small
307,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,2008,False,4.3,2.605769230769231,Medium
308,Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,2008,False,3.35,2.5449101796407185,Small
309,Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,2008,False,4.1,2.7127659574468086,Medium
310,Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,2008,False,3.6,2.672043010752688,Small
311,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,2008,False,3.9,2.827380952380952,Medium
312,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,2008,False,3.85,2.601092896174863,Medium
313,Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,2008,False,4.8,2.5120772946859904,Large
314,Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,2008,False,2.7,2.8253012048192767,Small
315,Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,2008,False,4.5,2.6884422110552766,Medium
316,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,2008,False,3.95,2.5128205128205128,Medium
317,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,2008,False,3.65,2.64,Small
318,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,2008,False,3.55,2.664921465968586,Small
319,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,2008,False,3.5,2.676470588235294,Small
320,Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,2009,False,3.675,2.8435754189944134,Small
321,Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,2009,False,4.45,2.745945945945946,Medium
322,Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,2009,False,3.4,2.7988826815642462,Small
323,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,2009,False,4.3,2.5,Medium
324,Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,2009,False,3.25,2.7540106951871657,Small
325,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,2009,False,3.675,2.8786127167630053,Small
326,Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,2009,False,3.325,2.932926829268293,Small
327,Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,2009,False,3.95,2.705263157894737,Medium
328,Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,2009,False,3.6,2.6416184971098264,Small
329,Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,2009,False,4.05,2.5736040609137056,Medium
330,Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,2009,False,3.35,2.4566473988439306,Small
331,Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,2009,False,3.45,2.776595744680851,Small
332,Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,2009,False,3.25,2.7228915662650603,Small
333,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,2009,False,4.05,2.477386934673367,Medium
334,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,2009,False,3.8,2.670212765957447,Medium
335,Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,2009,False,3.525,2.350515463917526,Small
336,Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,2009,False,3.95,2.6615384615384614,Medium
337,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,2009,False,3.65,2.836363636363636,Small
338,Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,2009,False,3.65,2.6882352941176473,Small
339,Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,2009,False,4.0,2.818181818181818,Medium
340,Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,2009,False,3.4,2.4033149171270716,Small
341,Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,2009,False,3.775,2.7252747252747254,Medium
342,Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,2009,False,4.1,2.6736842105263157,Medium
343,Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,2009,False,3.775,2.6844919786096257,Medium
